個体識別番号,体重測定日,体重,報告
1435403701,2025/5/26,600,
1580312118,2025/5/26,730,
1571713542,2025/5/26,640,
1520014355,2025/5/26,600,
1508616250,2025/5/26,620,
1657709414,2025/5/26,535,
1642709061,2025/5/26,570,
1521309658,2025/5/26,675,
1424929793,2025/5/26,670,
0867584514,2025/5/26,540,
1510516234,2025/5/26,630,
1459019452,2025/5/26,685,
1485416430,2025/5/26,640,
1624010512,2025/5/26,530,
1550414682,2025/5/26,510,
1523106804,2025/5/26,590,
1663506182,2025/5/26,565,
1385026524,2025/5/26,675,
1415222841,2025/5/26,565,
1368435961,2025/5/26,690,
1496712736,2025/5/26,680,
1379836412,2025/5/26,630,
1510075182,2025/5/26,615,
1476417323,2025/5/26,550,
1482819234,2025/5/26,585,
1387530470,2025/5/26,530,
0869227020,2025/5/26,630,
1524607553,2025/5/26,,
1436117331,2025/5/26,,
1377537083,2025/6/26,640,
1588212465,2025/6/26,645,
1470118882,2025/6/26,680,
1383924976,2025/6/26,845,
0867045213,2025/6/26,625,
1608115127,2025/6/26,695,
1660510267,2025/6/26,740,
1426254206,2025/6/26,750,
1645087470,2025/6/26,800,
1658703268,2025/6/26,695,
1476515753,2025/6/26,720,
1410732680,2025/6/26,775,
1397318044,2025/6/26,625,
1416916985,2025/6/26,635,
1511115610,2025/6/26,675,
0305610881,2025/6/26,740,
1661610300,2025/6/26,635,
1400430305,2025/6/26,620,
1609112170,2025/6/26,630,
0868482857,2025/6/26,610,
1636947370,2025/6/26,595,
1374326512,2025/6/26,615,
1679435018,2025/6/26,595,
1627013978,2025/6/26,700,
1395502636,2025/6/26,755,
1482215531,2025/6/26,635,
0862636171,2025/6/26,695,
1556363700,2025/6/26,730,
1455016400,2025/6/26,690,
1655824058,2025/6/26,710,
1402128279,2025/6/26,725,
1659233931,2025/6/26,685,
0868510819,2025/6/26,740,
1548507723,2025/6/26,720,
1566414201,2025/6/26,615,
1685210036,2025/6/26,530,
1525620650,2025/6/26,630,
1548812964,2025/6/26,715,
1679426726,2025/6/26,580,
0865770063,2025/6/26,700,
1619366617,2025/6/26,805,
1499114902,2025/6/26,680,
0869226344,2025/6/26,775,
1600612112,2025/6/26,720,
1528915449,2025/6/26,695,
1423422035,2025/6/26,720,
1635309506,2025/6/26,575,
1479714078,2025/6/26,665,
1612385622,2025/6/26,645,
1589215335,2025/6/26,705,
0864601689,2025/6/26,670,
1597814490,2025/6/26,730,
